Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.400: [GC (Allocation Failure) 0.400: [DefNew: 960K->63K(960K), 0.0013618 secs] 43571K->43166K(524224K), 0.0014254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.403: [GC (Allocation Failure) 0.403: [DefNew: 959K->64K(960K), 0.0013634 secs] 44062K->43608K(524224K), 0.0014199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.405: [GC (Allocation Failure) 0.405: [DefNew: 960K->63K(960K), 0.0012853 secs] 44505K->44021K(524224K), 0.0013472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.408: [GC (Allocation Failure) 0.408: [DefNew: 959K->63K(960K), 0.0014996 secs] 44918K->44509K(524224K), 0.0015659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.411: [GC (Allocation Failure) 0.411: [DefNew: 959K->64K(960K), 0.0013764 secs] 45405K->44940K(524224K), 0.0014353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.414: [GC (Allocation Failure) 0.415: [DefNew: 960K->64K(960K), 0.0016330 secs] 45837K->45378K(524224K), 0.0017021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.418: [GC (Allocation Failure) 0.418: [DefNew: 960K->63K(960K), 0.0013350 secs] 46275K->45823K(524224K), 0.0013946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.420: [GC (Allocation Failure) 0.420: [DefNew: 959K->64K(960K), 0.0012987 secs] 46721K->46228K(524224K), 0.0013500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.423: [GC (Allocation Failure) 0.423: [DefNew: 960K->64K(960K), 0.0014139 secs] 47125K->46733K(524224K), 0.0014775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.425: [GC (Allocation Failure) 0.425: [DefNew: 960K->64K(960K), 0.0015375 secs] 47629K->47159K(524224K), 0.0016176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.429: [GC (Allocation Failure) 0.429: [DefNew: 960K->63K(960K), 0.0016362 secs] 48055K->47707K(524224K), 0.0017025 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.433: [GC (Allocation Failure) 0.433: [DefNew: 959K->64K(960K), 0.0017562 secs] 48604K->48181K(524224K), 0.0018292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.436: [GC (Allocation Failure) 0.436: [DefNew: 960K->63K(960K), 0.0014649 secs] 49078K->48613K(524224K), 0.0015276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.440: [GC (Allocation Failure) 0.440: [DefNew: 959K->64K(960K), 0.0016922 secs] 49510K->49098K(524224K), 0.0017842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.444: [GC (Allocation Failure) 0.444: [DefNew: 960K->63K(960K), 0.0016232 secs] 49995K->49560K(524224K), 0.0017096 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.447: [GC (Allocation Failure) 0.447: [DefNew: 959K->64K(960K), 0.0021892 secs] 50456K->50173K(524224K), 0.0023605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.451: [GC (Allocation Failure) 0.451: [DefNew: 960K->64K(960K), 0.0017195 secs] 51070K->50666K(524224K), 0.0017901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.454: [GC (Allocation Failure) 0.454: [DefNew: 960K->64K(960K), 0.0016034 secs] 51563K->51090K(524224K), 0.0016753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (Allocation Failure) 0.458: [DefNew: 960K->63K(960K), 0.0016555 secs] 51989K->51561K(524224K), 0.0017664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.462: [GC (Allocation Failure) 0.462: [DefNew: 959K->63K(960K), 0.0017321 secs] 52457K->52195K(524224K), 0.0018114 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.465: [GC (Allocation Failure) 0.465: [DefNew: 959K->63K(960K), 0.0015904 secs] 53091K->52657K(524224K), 0.0016729 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.469: [GC (Allocation Failure) 0.469: [DefNew: 959K->63K(960K), 0.0020976 secs] 53553K->53163K(524224K), 0.0022015 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.472: [GC (Allocation Failure) 0.472: [DefNew: 959K->63K(960K), 0.0027912 secs] 54061K->53883K(524224K), 0.0029057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.477: [GC (Allocation Failure) 0.477: [DefNew: 959K->64K(960K), 0.0020084 secs] 54780K->54417K(524224K), 0.0020878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.480: [GC (Allocation Failure) 0.480: [DefNew: 960K->64K(960K), 0.0015671 secs] 55313K->54849K(524224K), 0.0016236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.484: [GC (Allocation Failure) 0.484: [DefNew: 960K->64K(960K), 0.0016879 secs] 55746K->55357K(524224K), 0.0017637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.487: [GC (Allocation Failure) 0.487: [DefNew: 960K->63K(960K), 0.0018395 secs] 56254K->55832K(524224K), 0.0019172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.497: [GC (Allocation Failure) 0.497: [DefNew: 959K->64K(960K), 0.0032380 secs] 57752K->57353K(524224K), 0.0033545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.502: [GC (Allocation Failure) 0.502: [DefNew: 960K->64K(960K), 0.0023049 secs] 58250K->57940K(524224K), 0.0023874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.505: [GC (Allocation Failure) 0.505: [DefNew: 960K->64K(960K), 0.0024150 secs] 58837K->58472K(524224K), 0.0024936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.509: [GC (Allocation Failure) 0.509: [DefNew: 960K->64K(960K), 0.0015932 secs] 59368K->58923K(524224K), 0.0016768 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
